COLUMN,DESCRIPTION,TYPE,LENGTH,DECIML,RANGEVAL,UNITS,CODE,NOTES,TBLNAME,CRFNAME
Ventricles,UCSF Ventricles,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
Hippocampus,UCSF Hippocampus,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
WholeBrain,UCSF WholeBrain,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
Entorhinal,UCSF Entorhinal,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
Fusiform,UCSF Fusiform,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
MidTemp,UCSF Med Temp,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
ICV,UCSF ICV,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
DX,Dx status,,,,,,,From studysum table,ADNIMERGE,Key ADNI tables merged into one table
EXAMDATE_bl,Examination Date at baseline,,,,,,,From registry table,ADNIMERGE,Key ADNI tables merged into one table
CDRSB_bl,CDR-SB at baseline,,,,,,,From cdr table,ADNIMERGE,Key ADNI tables merged into one table
ADAS11_bl,ADAS 11 at baseline,,,,,,,From adas table,ADNIMERGE,Key ADNI tables merged into one table
ADAS13_bl,ADAS 13 at baseline,,,,,,,From adas table,ADNIMERGE,Key ADNI tables merged into one table
MMSE_bl,MMSE at baseline,,,,,,,From mmse table,ADNIMERGE,Key ADNI tables merged into one table
RAVLT_bl,RAVLT (forgetting) at baseline,,,,,,,From neurobat table,ADNIMERGE,Key ADNI tables merged into one table
RAVLT_immediate_bl,RAVLT (5 sum) at baseline,,,,,,,From neurobat table,ADNIMERGE,Key ADNI tables merged into one table
FAQ_bl,FAQ at baseline,,,,,,,From neurobat table,ADNIMERGE,Key ADNI tables merged into one table
Ventricles_bl,UCSF Ventricles at baseline,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
Hippocampus_bl,UCSF Hippocampus at baseline,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
WholeBrain_bl,UCSF WholeBrain at baseline,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
Entorhinal_bl,UCSF Entorhinal at baseline,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
Fusiform_bl,UCSF Fusiform at baseline,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
MidTemp_bl,UCSF Med Temp at baseline,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
ICV_bl,UCSF ICV at baseline,,,,,,,From ucsffsx and ucsffsx51 tables,ADNIMERGE,Key ADNI tables merged into one table
MOCA_bl,MOCA at baseline,,,,,,,From moca table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtMem_bl,Pt ECog - Mem at baseline,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtLang_bl,Pt ECog - Lang at baseline,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtVisspat_bl,Pt ECog - Vis/Spat at baseline,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtPlan_bl,Pt ECog - Plan at baseline,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtOrgan_bl,Pt ECog - Organ at baseline,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtDivatt_bl,Pt ECog - Div atten at baseline,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtTotal_bl,Pt ECog - Total at baseline,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPMem_bl,SP ECog - Mem at baseline,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPLang_bl,SP ECog - Lang at baseline,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPVisspat_bl,SP ECog - Vis/Spat at baseline,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPPlan_bl,SP ECog - Plan at baseline,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPOrgan_bl,SP ECog - Organ at baseline,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPDivatt_bl,SP ECog - Div atten at baseline,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPTotal_bl,SP ECog - Total at baseline,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
FDG_bl,"Average FDG-PET of angular, temporal, and posterior cingulate at baseline",,,,,,,From ucberkeleyfdg table,ADNIMERGE,Key ADNI tables merged into one table
PIB_bl,"Average PIB SUVR of frontal cortex, anterior cingulate, precuneus cortex, and parietal cortex at bas",,,,,,,From pibpetsuvr table,ADNIMERGE,Key ADNI tables merged into one table
AV45_bl,"Average AV45 SUVR of frontal, anterior cingulate, precuneus, and parietal cortex relative to the cer",,,,,,,From ucberkeleyav45 table,ADNIMERGE,Key ADNI tables merged into one table
Years_bl,Years from baseline,,,,,,,From registry EXAMDATEs,ADNIMERGE,Key ADNI tables merged into one table
Month_bl,Months from baseline,,,,,,,From registry EXAMDATEs,ADNIMERGE,Key ADNI tables merged into one table
Month,"Months from baseline (to nearest 6 months, as a factor)",,,,,,,From registry EXAMDATEs,ADNIMERGE,Key ADNI tables merged into one table
M,"Months from baseline (to nearest 6 months, as continuous)",,,,,,,From registry EXAMDATEs,ADNIMERGE,Key ADNI tables merged into one table
RID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Participant roster ID,T,,,,,,The 4 digit roster ID (RID) should be used to merge data,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
VISCODE_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Visit code,T,,,,,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
VISCODE2_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Translated visit code,,,,,,,Months from baseline rounded to nearest 6 months,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
FLDSTRENG_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,The field strength. 1.5 or 3,D,,,,,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
EXAMDATE_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,The scan date for the image processed,D,,,,,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
LONISID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,The LONI study UID for the image processed,T,,,,,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
LONIUID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,The LONI series UID for the image processed.,T,,,,,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
IMAGEUID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,The ImageUID for the image processed.,T,,,,,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
RUNDATE_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,,D,,,,,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
VERSION_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,,D,,,,,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
STATUS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,,T,,,complete/partial,,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
BASETP1_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Whether or not the base image includes a timepoint 1 image.,N,,,,,"0 = No, 1 = Yes",,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
BASETP2_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Whether or not the base image includes a timepoint 2 image.,N,,,,,"0 = No, 1 = Yes",,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
BASETP3_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Whether or not the base image includes a timepoint 3 image.,N,,,,,"0 = No, 1 = Yes",,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
BASETP4_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Whether or not the base image includes a timepoint 4 image.,N,,,,,"0 = No, 1 = Yes",,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
BASETP5_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Whether or not the base image includes a timepoint 5 image.,N,,,,,"0 = No, 1 = Yes",,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
BASETP6_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Whether or not the base image includes a timepoint 6 image.,N,,,,,"0 = No, 1 = Yes",,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
BASETP7_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Whether or not the base image includes a timepoint 7 image.,N,,,,,"0 = No, 1 = Yes",,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
BASETP8_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Whether or not the base image includes a timepoint 8 image.,N,,,,,"0 = No, 1 = Yes",,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
OVERALLQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,An overall quality rating. Refer to additional QC variables for Partial rating.,T,,,,,Pass/Fail/Partial,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
TEMPQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,QC rating of temporal lobe. Fail affects the following regions: LeftTemporalPole (ST60); RightTempor,T,,,,,Pass/Fail,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
FRONTQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,QC rating of the frontal lobe. Fail affects the following regions: LeftFrontalPole (ST25); RightFron,T,,,,,Pass/Fail,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
PARQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,QC rating of the parietal lobe. Fail affects the following regions: LeftPostcentral (ST49); RightPos,T,,,,,Pass/Fail,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
INSULAQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,QC rating of the insula. Fail affects the following regions: LeftInsula (ST129); RightInsula (ST130),T,,,,,Pass/Fail,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
OCCQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,QC rating of the occipital lobe. Fail affects the following regions: LeftLingual (ST38); RightLingua,T,,,,,Pass/Fail,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
BGQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,QC rating of the basal ganglia. Fail affects the following regions: LeftPutamen (ST53); RightPutamen,T,,,,,Pass/Fail,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
CWMQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,QC rating of the cerebral WM. Fail affects the following regions: LeftCerebralWM (ST20); RightCerebr,T,,,,,Pass/Fail,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
VENTQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,QC rating of the ventricles. Fail affects the following regions: LeftLateralVentricle (ST37); RightL,T,,,Pass/Fail,,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST100SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightNonWMHypoIntensities,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST101SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightPallidum,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST102CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightParacentral,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST102SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightParacentral,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST102TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightParacentral,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST102TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightParacentral,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST103CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightParahippocampal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST103SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightParahippocampal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST103TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightParahippocampal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST103TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightParahippocampal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST104CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightParsOpercularis,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST104SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightParsOpercularis,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST104TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightParsOpercularis,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST104TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightParsOpercularis,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST105CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightParsOrbitalis,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST105SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightParsOrbitalis,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST105TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightParsOrbitalis,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST105TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightParsOrbitalis,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST106CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightParsTriangularis,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST106SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightParsTriangularis,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST106TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightParsTriangularis,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST106TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightParsTriangularis,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST107CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightPericalcarine,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST107SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightPericalcarine,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST107TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightPericalcarine,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST107TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightPericalcarine,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST108CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightPostcentral,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST108SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightPostcentral,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST108TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightPostcentral,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST108TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightPostcentral,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST109CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightPosteriorCingulate,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST109SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightPosteriorCingulate,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST109TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightPosteriorCingulate,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST109TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightPosteriorCingulate,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST10CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of Icv,N,15,8,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST110CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightPrecentral,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST110SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightPrecentral,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST110TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightPrecentral,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST110TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightPrecentral,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST111CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightPrecuneus,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST111SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightPrecuneus,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST111TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightPrecuneus,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST111TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightPrecuneus,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST112SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightPutamen,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST113CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightRostralAnteriorCingulate,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST113SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightRostralAnteriorCingulate,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST113TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightRostralAnteriorCingulate,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
